capacity_multiplier,w_gossip,w_rel,program_variant,k_swaps,n_changed_talks,replicate,mean_overload_excess,mean_user_utility,overflow_rate_slothall,hall_utilization_variance,n_skipped,n_users
0.7,0.0,1.0,44,8,16,1,0.3854166666666667,0.002933408733952092,0.9,0.02485210905349794,183,1600
0.7,0.0,1.0,44,8,16,2,0.4305555555555556,-0.0036475825679372063,0.875,0.03330761316872428,172,1600
0.7,0.0,1.0,44,8,16,3,0.49652777777777785,0.001404914537051809,0.85,0.05478395061728395,167,1600
0.7,0.0,1.0,44,8,16,4,0.4201388888888889,-0.0007408733550255419,0.925,0.02700617283950617,149,1600
0.7,0.0,1.0,44,8,16,5,0.4722222222222223,-0.003927186103028362,0.95,0.03305041152263375,143,1600
0.7,0.0,1.0,45,4,8,1,0.39583333333333326,-0.0021927267248975113,0.925,0.02977109053497942,183,1600
0.7,0.0,1.0,45,4,8,2,0.42013888888888884,0.0007221939812006895,0.925,0.027424125514403295,172,1600
0.7,0.0,1.0,45,4,8,3,0.47222222222222227,-0.002833889802059275,0.875,0.05449459876543209,167,1600
0.7,0.0,1.0,45,4,8,4,0.4131944444444444,-0.0003356497221830068,0.925,0.030767746913580238,149,1600
0.7,0.0,1.0,45,4,8,5,0.47916666666666674,-0.002346894353904645,0.875,0.03739068930041152,143,1600
0.7,0.0,1.0,46,3,6,1,0.40625,0.0006525619150488638,0.85,0.0341113683127572,183,1600
0.7,0.0,1.0,46,3,6,2,0.4201388888888889,-0.002401923071302008,0.875,0.029931841563786005,172,1600
0.7,0.0,1.0,46,3,6,3,0.5104166666666666,-0.0003092822970211273,0.8,0.06481481481481481,167,1600
0.7,0.0,1.0,46,3,6,4,0.4131944444444444,-0.0014416023100056919,0.925,0.02652391975308642,149,1600
